,avg
PRE_age_at_dx,50.656410256410254
PRE_dximg___mammography,0.88
PRE_dximg___ultrasound,0.7733333333333333
PRE_tumor_max_size_composite,27.34041095890411
PRE_susp_LN_prsnt_composite,0.24666666666666667
PRE_susp_LN_size_composite,2.6683333333333334
PRE_pre_op_biopsy,1.1416526138279932
PRE_his_subtype_is_invasive_composite,0.7333333333333333
PRE_his_subtype___idc,0.6383333333333333
PRE_his_subtype___dcis,0.2683333333333333
PRE_lymphovascular_invasion0,0.035
PRE_er_status,1.2008333333333334
PRE_her_status,1.73
PRE_axillary_lymph_node_core_b,0.2
PRE_metastatic_carcinoma_on_ax,0.13916666666666666
PRE_surg_indicat_prim___primary_tx,0.7266666666666667
PRE_surg_indicat_prim___recurrent_cancer,0.04666666666666667
