,coef
PRE_age_at_dx,-0.002378081258571237
PRE_dximg___mammography,0.2558198328695431
PRE_dximg___ultrasound,0.3303786236334959
PRE_tumor_max_size_composite,0.011773323529951186
PRE_susp_LN_prsnt_composite,0.5324024058161426
PRE_susp_LN_size_composite,0.029215523393665697
PRE_pre_op_biopsy,-0.41168883522228455
PRE_his_subtype_is_invasive_composite,0.06126810489065488
PRE_his_subtype___idc,0.34185730894131894
PRE_his_subtype___dcis,-0.4953718204992072
PRE_lymphovascular_invasion0,0.13777100843249082
PRE_er_status,-0.031370606454014995
PRE_her_status,0.49394214162080885
PRE_axillary_lymph_node_core_b,0.14828588214628263
PRE_metastatic_carcinoma_on_ax,0.7952427520012665
PRE_surg_indicat_prim___primary_tx,0.21577450955206823
PRE_surg_indicat_prim___recurrent_cancer,-0.25817460777443113
intercept,-1.8060538608212995
